CommentCount,DownVotes,Outlier,Reputation,Score,UpVotes,ViewCount,Views,postId,userId_posts,userId_users
4,1,Reputation,522,6,16,,111,217,5.0,217
2,0,Reputation,615,15,95,,77,221,159.0,221
5,19,Reputation,4022,5,345,291.0,1471,223,79.0,223
2,0,Reputation,1293,12,55,,266,226,173.0,226
2,0,Reputation,629,10,65,,64,229,159.0,229
0,2,Reputation,1233,5,170,,106,230,173.0,230
1,0,Reputation,281,4,8,,31,240,114.0,240
1,3,Reputation,898,2,82,,104,247,171.0,247
3,0,Reputation,315,5,8,,40,252,81.0,252
0,5,Reputation,5309,7,1160,,1147,253,215.0,253
1,0,Reputation,526,12,2,,24,260,217.0,260
4,2,Reputation,442,12,30,,84,261,159.0,261
0,55,Reputation,4701,5,1408,,839,264,217.0,264
0,1,Reputation,1272,3,108,,335,266,128.0,266
0,0,Reputation,1384,1,17,,87,273,216.0,273
0,8,Reputation,6176,9,578,,374,279,62.0,279
1,0,Reputation,847,7,19,1068.0,73,287,90.0,287
0,0,Reputation,524,4,223,,44,300,56.0,300
3,3,Reputation,4829,13,692,,1088,307,229.0,307
0,0,Reputation,611,5,2,,49,315,36.0,315
2,0,Reputation,1994,15,62,,523,319,71.0,319
0,0,Reputation,303,1,0,,36,327,3807.0,327
3,4,Reputation,1233,3,75,,104,333,74.0,333
6,0,Reputation,3039,1,125,,363,339,218.0,339
1,2,Reputation,793,1,236,,99,352,8.0,352
2,0,Reputation,369,2,5,,18,368,,368
1,0,Reputation,529,7,9,437.0,46,375,252.0,375
0,0,Reputation,316,11,2,,6,378,68.0,378
5,0,Reputation,891,10,55,,185,386,223.0,386
0,6,Reputation,6906,2,394,,1070,401,256.0,401
0,0,Reputation,379,4,7,,25,419,215.0,419
1,1,Reputation,2133,10,28,,272,438,215.0,438
1,1,Reputation,2031,8,152,,268,439,30.0,439
0,21,Reputation,6431,7,857,,973,442,36.0,442
0,0,Reputation,1422,5,20,,173,447,215.0,447
0,57,Reputation,12813,1,1607,,1089,449,215.0,449
1,0,Reputation,378,27,26,,24,455,13.0,455
4,0,Reputation,300,12,13,,29,478,251.0,478
3,11,Reputation,2908,48,444,4470.0,265,485,183.0,485
0,4,Reputation,909,3,87,,96,493,268.0,493
1,4,Reputation,2092,6,32,,272,495,214.0,495
7,0,Reputation,300,3,9,,20,501,88.0,501
0,4,Reputation,1796,26,33,,516,511,3807.0,511
5,0,Reputation,268,2,9,,42,520,190.0,520
0,0,Reputation,2133,7,65,,205,521,190.0,521
2,0,Reputation,326,4,10,,32,523,74.0,523
0,0,Reputation,599,8,2,,77,530,159.0,530
2,0,Reputation,279,34,14,9369.0,31,539,174.0,539
1,0,Reputation,286,3,5,,39,549,270.0,549
4,0,Reputation,1273,33,58,,142,557,215.0,557
0,0,Reputation,485,5,9,,44,559,88.0,559
0,11,Reputation,2002,12,155,,186,561,215.0,561
0,0,Reputation,307,3,43,,46,569,5.0,569
3,0,Reputation,365,10,260,1043.0,40,573,190.0,573
1,23,Reputation,2400,4,692,,293,582,108.0,582
4,0,Reputation,1034,6,38,,185,588,61.0,588
5,49,Reputation,10647,3,683,,1225,603,30.0,603
2,1,Reputation,691,6,44,,113,609,223.0,609
6,0,Reputation,305,22,7,2267.0,34,614,107.0,614
3,49,Reputation,379,2,163,,51,615,88.0,615
0,0,Reputation,426,7,8,,47,634,5.0,634
1,7,Reputation,2320,61,1273,,203,656,25.0,656
3,3,Reputation,286,7,16,510.0,37,660,292.0,660
2,0,Reputation,406,6,11,,56,667,88.0,667
1,82,Reputation,44152,8,2156,,7357,686,339.0,686
0,18,Reputation,2282,1,136,,182,696,173.0,696
2,2,Reputation,424,2,34,,37,702,,702
1,0,Reputation,577,0,51,,64,704,,704
1,0,Reputation,262,4,6,,20,741,251.0,741
2,0,Reputation,292,11,6,,35,749,339.0,749
0,0,Reputation,436,9,5,1423.0,24,775,460.0,775
0,1,Reputation,1895,2,225,,312,776,5.0,776
1,0,Reputation,311,8,49,,36,778,447.0,778
0,1,Reputation,566,3,9,,78,781,22.0,781
2,8,Reputation,5606,-3,1547,728.0,967,795,474.0,795
0,143,Reputation,65272,2,7035,551.0,5680,805,,805
1,2,Reputation,628,6,215,942.0,98,812,223.0,812
6,0,Reputation,262,13,6,,22,827,5.0,827
2,0,Reputation,830,3,148,,174,830,447.0,830
0,1,Reputation,259,1,19,,63,840,288.0,840
4,0,Reputation,597,5,22,,46,845,8.0,845
3,0,Reputation,591,0,15,123.0,67,847,500.0,847
0,1,Reputation,1075,4,11,,77,851,8.0,851
2,24,Reputation,2834,1,333,,434,858,485.0,858
4,0,Reputation,531,16,2,,90,862,159.0,862
4,0,Reputation,257,13,7,14181.0,13,870,520.0,870
0,0,Reputation,451,1,0,,27,873,251.0,873
0,2,Reputation,1118,5,6,264.0,62,881,34.0,881
1,4,Reputation,18187,3,230,723.0,1660,887,213.0,887
0,0,Reputation,1054,1,221,,87,900,,900
2,0,Reputation,262,3,3,600.0,27,913,59.0,913
0,779,Reputation,87393,1,11273,,20932,919,287.0,919
2,214,Reputation,31170,1,10523,,5529,930,88.0,930
0,0,Reputation,326,2,1,,19,959,183.0,959
0,3,Reputation,620,10,86,1991.0,73,961,582.0,961
2,0,Reputation,1290,2,244,,137,966,334.0,966
0,0,Reputation,423,2,13,373.0,65,977,210.0,977
0,1,Reputation,323,6,9,,65,994,,994
0,0,Reputation,364,13,10,,68,996,603.0,996
1,0,Reputation,3679,10,325,,870,1005,36.0,1005
0,2,Reputation,360,10,30,3899.0,45,1028,608.0,1028
2,43,Reputation,8236,14,11442,,1305,1036,557.0,1036
2,0,Reputation,468,8,28,,135,1048,247.0,1048
3,2,Reputation,478,9,39,,53,1050,1356.0,1050
0,1,Reputation,1597,1,81,,188,1080,572.0,1080
0,1,Reputation,276,4,42,667.0,45,1084,642.0,1084
1,0,Reputation,305,3,69,,48,1098,647.0,1098
2,0,Reputation,329,0,15,,55,1102,,1102
0,2,Reputation,2410,4,202,,140,1106,88.0,1106
0,1,Reputation,506,1,35,,87,1107,,1107
0,1,Reputation,3555,4,347,,386,1108,442.0,1108
9,0,Reputation,326,11,24,5715.0,36,1112,652.0,1112
3,2,Reputation,935,0,88,,278,1118,,1118
0,0,Reputation,678,2,10,,28,1119,,1119
0,0,Reputation,1544,5,0,,196,1122,419.0,1122
0,7,Reputation,3000,0,140,,456,1124,334.0,1124
5,2,Reputation,299,10,9,387.0,30,1126,660.0,1126
1,6,Reputation,1086,3,73,,189,1146,668.0,1146
3,0,Reputation,585,36,25,,56,1150,159.0,1150
0,3,Reputation,386,9,252,,137,1154,251.0,1154
0,1,Reputation,2768,1,260,,93,1191,686.0,1191
1,0,Reputation,442,5,13,237.0,34,1195,687.0,1195
0,0,Reputation,339,2,18,139.0,40,1215,698.0,1215
0,2,Reputation,353,8,13,,54,1219,702.0,1219
3,0,Reputation,437,2,5,153.0,39,1224,,1224
0,0,Reputation,526,3,11,,34,1229,442.0,1229
1,0,Reputation,451,2,19,,110,1265,643.0,1265
0,0,Reputation,639,3,42,426.0,83,1270,749.0,1270
5,0,Reputation,303,11,15,,214,1291,8.0,1291
0,10,Reputation,4128,2,600,,5025,1307,247.0,1307
0,0,Reputation,330,3,73,,67,1320,778.0,1320
0,0,Reputation,1775,10,58,,126,1347,521.0,1347
0,0,Reputation,572,5,185,,171,1351,789.0,1351
0,7,Reputation,5859,10,595,864.0,783,1352,144.0,1352
7,0,Reputation,286,5,23,324.0,26,1355,114.0,1355
2,1,Reputation,745,51,115,,129,1356,114.0,1356
2,0,Reputation,327,8,35,219.0,29,1378,71.0,1378
0,34,Reputation,3533,4,910,,299,1381,795.0,1381
0,0,Reputation,262,4,5,1387.0,41,1389,189.0,1389
2,34,Reputation,10476,4,602,,1165,1390,485.0,1390
1,0,Reputation,258,2,2,,17,1397,603.0,1397
1,0,Reputation,299,3,18,,55,1434,830.0,1434
0,0,Reputation,443,29,1,,22,1436,830.0,1436
2,0,Reputation,672,6,149,,91,1443,521.0,1443
0,0,Reputation,278,4,41,,33,1445,223.0,1445
4,0,Reputation,265,8,8,,36,1456,251.0,1456
0,2,Reputation,347,13,10,2537.0,12,1475,,1475
0,0,Reputation,559,11,49,,114,1496,8.0,1496
2,1,Reputation,1282,3,189,,146,1499,22.0,1499
0,3,Reputation,809,1,12,,84,1513,125.0,1513
3,1,Reputation,288,7,10,,30,1537,8.0,1537
2,0,Reputation,370,13,37,1029.0,25,1538,650.0,1538
0,4,Reputation,1794,4,70,4100.0,129,1540,870.0,1540
0,8,Reputation,1067,2,7,,93,1549,8.0,1549
0,0,Reputation,355,2,10,,23,1566,881.0,1566
4,2,Reputation,3015,5,151,,188,1569,511.0,1569
8,0,Reputation,673,4,26,,162,1573,319.0,1573
0,4,Reputation,352,3,12,357.0,55,1583,196.0,1583
2,0,Reputation,362,3,12,,45,1636,196.0,1636
3,0,Reputation,615,8,195,,122,1643,442.0,1643
0,6,Reputation,1058,4,44,,204,1657,919.0,1657
0,0,Reputation,1589,1,35,,209,1670,110.0,1670
0,8,Reputation,3536,0,164,,382,1679,,1679
5,5,Reputation,1094,4,160,858.0,230,1709,198.0,1709
4,0,Reputation,441,7,38,,65,1720,159.0,1720
1,0,Reputation,459,10,32,2923.0,38,1737,,1737
2,8,Reputation,8772,10,154,,881,1739,279.0,1739
0,0,Reputation,335,36,8,,7,1760,74.0,1760
7,0,Reputation,592,16,19,,212,1763,183.0,1763
6,8,Reputation,7461,17,1264,1101.0,764,1764,144.0,1764
0,1,Reputation,481,8,213,,29,1765,88.0,1765
2,1,Reputation,352,18,5,,40,1795,919.0,1795
4,0,Reputation,256,21,12,5593.0,25,1815,174.0,1815
0,1,Reputation,425,11,18,11533.0,54,1818,588.0,1818
2,0,Reputation,422,3,36,,34,1871,601.0,1871
0,2,Reputation,1077,10,42,,77,1893,5.0,1893
0,0,Reputation,269,7,5,,40,1894,334.0,1894
2,6,Reputation,6524,6,150,,681,1909,183.0,1909
0,0,Reputation,1175,5,65,,98,1913,,1913
2,0,Reputation,376,3,6,,11,1916,919.0,1916
1,11,Reputation,4957,1,329,,578,1934,919.0,1934
2,0,Reputation,674,6,7,,191,1945,251.0,1945
0,0,Reputation,345,2,7,,73,1950,88.0,1950
0,0,Reputation,387,2,18,,74,1973,603.0,1973
0,0,Reputation,830,3,111,,124,1977,881.0,1977
0,7,Reputation,1588,7,66,,141,1979,183.0,1979
3,1,Reputation,668,2,68,,120,1991,666.0,1991
0,0,Reputation,565,2,81,,80,2020,183.0,2020
9,1,Reputation,301,7,105,,65,2036,251.0,2036
0,12,Reputation,790,9,262,,428,2040,930.0,2040
0,0,Reputation,258,52,21,,15,2044,,2044
0,0,Reputation,268,6,24,,29,2046,,2046
6,0,Reputation,315,12,68,1787.0,78,2067,442.0,2067
5,0,Reputation,756,2,110,,53,2073,795.0,2073
1,0,Reputation,1239,8,2,,124,2074,919.0,2074
0,0,Reputation,631,3,10,933.0,67,2091,862.0,2091
4,7,Reputation,915,7,71,990.0,44,2111,795.0,2111
0,43,Reputation,18088,8,3274,5803.0,3899,2116,840.0,2116
1,5,Reputation,4536,4,642,,798,2126,,2126
1,5,Reputation,3375,15,92,,276,2129,25.0,2129
0,0,Reputation,471,2,4,,23,2144,364.0,2144
0,0,Reputation,450,2,6,,54,2148,401.0,2148
4,0,Reputation,1969,17,62,,196,2150,74.0,2150
0,0,Reputation,397,4,4,,21,2166,5.0,2166
3,0,Reputation,283,3,2,,22,2221,795.0,2221
0,1,Reputation,457,4,83,,34,2252,1107.0,2252
2,0,Reputation,287,1,60,,7,2260,196.0,2260
4,0,Reputation,276,4,1,,14,2280,1107.0,2280
0,2,Reputation,3016,1,220,,2342,2310,183.0,2310
3,7,Reputation,11860,4,883,,2359,2392,196.0,2392
0,0,Reputation,378,1,5,,29,2403,795.0,2403
0,0,Reputation,348,2,2,,28,2407,8.0,2407
0,3,Reputation,1230,7,51,,238,2425,743.0,2425
4,0,Reputation,376,16,18,,40,2456,5.0,2456
3,0,Reputation,399,6,68,1430.0,63,2513,266.0,2513
1,0,Reputation,356,-1,2,,54,2526,98.0,2526
10,0,Reputation,521,3,1,,18,2539,,2539
1,3,Reputation,949,18,17,,77,2546,666.0,2546
1,0,Reputation,266,7,0,2988.0,6,2591,144.0,2591
2,20,Reputation,802,3,9,1916.0,323,2592,1260.0,2592
4,1,Reputation,393,3,38,3271.0,75,2635,1272.0,2635
2,0,Reputation,3561,28,613,,585,2645,251.0,2645
0,0,Reputation,523,2,6,,21,2658,919.0,2658
2,2,Reputation,485,1,54,,113,2660,919.0,2660
0,0,Reputation,279,11,10,,39,2665,930.0,2665
0,1,Reputation,501,0,74,,56,2714,1307.0,2714
7,0,Reputation,1273,16,439,,146,2719,1307.0,2719
0,0,Reputation,926,4,7,1259.0,67,2728,253.0,2728
0,3,Reputation,821,7,187,,101,2750,603.0,2750
5,0,Reputation,287,15,17,1544.0,25,2772,30.0,2772
0,4,Reputation,485,6,11,,76,2773,930.0,2773
3,2,Reputation,2430,2,156,,155,2775,30.0,2775
0,2,Reputation,1942,3,366,,189,2798,88.0,2798
1,8,Reputation,9604,1,1437,,1244,2817,887.0,2817
4,0,Reputation,307,1,12,,14,2820,253.0,2820
0,0,Reputation,306,13,26,1590.0,28,2824,1356.0,2824
4,2,Reputation,281,7,8,,25,2833,1352.0,2833
5,0,Reputation,576,3,18,585.0,76,2849,1251.0,2849
0,7,Reputation,3359,3,134,1001.0,467,2860,881.0,2860
0,2,Reputation,1102,2,60,,105,2898,,2898
0,0,Reputation,263,1,107,,83,2912,795.0,2912
2,0,Reputation,308,10,17,1436.0,8,2917,1381.0,2917
0,48,Reputation,1177,7,804,,153,2921,1036.0,2921
1,0,Reputation,295,6,16,,27,2942,442.0,2942
0,0,Reputation,364,17,27,439.0,61,2956,364.0,2956
2,6,Reputation,10470,2,210,541.0,655,2958,,2958
0,2,Reputation,420,1,33,,33,2965,521.0,2965
2,212,Reputation,13647,2,2468,,5441,2970,1270.0,2970
0,0,Reputation,493,1,17,,27,2973,666.0,2973
2,1,Reputation,531,5,10,1153.0,27,2975,957.0,2975
0,1,Reputation,1091,6,915,1227.0,84,2981,1007.0,2981
0,1,Reputation,345,0,34,,126,3014,88.0,3014
0,57,Reputation,8045,0,228,,500,3019,88.0,3019
0,0,Reputation,254,3,26,,21,3025,1080.0,3025
0,0,Reputation,844,2,1,,43,3026,,3026
6,1,Reputation,1123,1,124,,117,3058,71.0,3058
0,1,Reputation,357,2,58,,73,3077,401.0,3077
0,0,Reputation,282,1,8,,20,3098,,3098
10,0,Reputation,582,3,3,,56,3125,582.0,3125
1,2,Reputation,259,2,31,2884.0,69,3140,,3140
0,0,Reputation,377,2,0,,6,3203,,3203
3,0,Reputation,261,5,2,,13,3205,919.0,3205
2,0,Reputation,473,10,48,,1055,3248,253.0,3248
0,7,Reputation,2090,23,42,2923.0,202,3262,253.0,3262
0,0,Reputation,764,6,61,,84,3265,919.0,3265
0,0,Reputation,761,3,15,,56,3269,251.0,3269
0,12,Reputation,13898,2,869,,2866,3277,183.0,3277
0,0,Reputation,287,3,7,,22,3280,930.0,3280
4,11,Reputation,644,4,116,,53,3293,930.0,3293
0,0,Reputation,533,1,12,,44,3301,1499.0,3301
0,0,Reputation,277,2,19,,16,3306,1124.0,3306
0,0,Reputation,416,3,100,272.0,32,3309,253.0,3309
1,0,Reputation,735,5,69,,98,3310,919.0,3310
0,1,Reputation,324,4,20,,15,3330,251.0,3330
6,1,Reputation,1068,25,30,3894.0,67,3331,179.0,3331
0,0,Reputation,1162,0,25,571.0,146,3369,1514.0,3369
3,2,Reputation,929,19,41,,86,3376,603.0,3376
2,24,Reputation,8009,1,183,,3559,3382,88.0,3382
6,0,Reputation,696,4,12,,30,3396,919.0,3396
3,4,Reputation,703,8,34,,248,3411,930.0,3411
2,0,Reputation,995,6,79,,82,3432,919.0,3432
1,0,Reputation,275,6,19,,37,3443,401.0,3443
2,3,Reputation,457,5,66,,75,3454,251.0,3454
0,0,Reputation,340,19,62,,11,3467,930.0,3467
1,4,Reputation,1463,1,427,,221,3488,1499.0,3488
0,2,Reputation,737,5,51,3416.0,122,3489,1224.0,3489
1,6,Reputation,909,8,39,,75,3525,442.0,3525
1,0,Reputation,366,0,16,,9,3541,,3541
0,0,Reputation,270,4,4,447.0,45,3552,1569.0,3552
1,4,Reputation,2951,9,88,,309,3567,485.0,3567
2,2,Reputation,494,2,56,,133,3572,449.0,3572
0,0,Reputation,688,4,19,,23,3577,919.0,3577
10,2,Reputation,701,-1,44,,57,3582,1569.0,3582
4,0,Reputation,304,1,55,,30,3591,449.0,3591
2,0,Reputation,913,20,2,7263.0,653,3595,315.0,3595
0,2,Reputation,3773,4,360,,343,3601,439.0,3601
3,2,Reputation,549,6,135,2178.0,68,3640,1381.0,3640
2,0,Reputation,429,3,7,,57,3671,1607.0,3671
0,2,Reputation,373,0,31,,39,3700,1595.0,3700
3,0,Reputation,398,4,14,,16,3732,1036.0,3732
0,7,Reputation,1391,2,237,,589,3748,603.0,3748
0,0,Reputation,418,1,2,,39,3786,449.0,3786
6,25,Reputation,705,0,90,,97,3794,183.0,3794
2,0,Reputation,759,3,0,331.0,32,3805,1645.0,3805
1,1,Reputation,367,2,34,,67,3807,919.0,3807
0,145,Reputation,1460,4,1883,3530.0,390,3826,,3826
0,1,Reputation,1329,3,157,75.0,119,3835,1636.0,3835
2,0,Reputation,1525,11,49,5977.0,262,3874,1663.0,3874
0,1,Reputation,476,1,363,,181,3903,1501.0,3903
0,7,Reputation,2481,21,337,1519.0,456,3911,1393.0,3911
0,0,Reputation,857,1,61,,98,3919,656.0,3919
0,0,Reputation,357,11,6,8456.0,39,3984,1763.0,3984
3,0,Reputation,495,1,0,,38,4054,,4054
4,0,Reputation,282,9,5,3567.0,63,4062,253.0,4062
0,0,Reputation,597,2,43,,44,4110,1764.0,4110
7,0,Reputation,290,4,23,,53,4147,,4147
1,2,Reputation,613,2,125,,66,4164,495.0,4164
9,0,Reputation,402,3,2,,13,4176,8.0,4176
0,0,Reputation,365,4,22,152.0,25,4238,96.0,4238
0,56,Reputation,19585,0,155,,6948,4253,656.0,4253
3,6,Reputation,6461,4,186,,434,4257,1329.0,4257
0,0,Reputation,517,6,40,,64,4290,1808.0,4290
0,0,Reputation,507,3,36,254.0,83,4325,,4325
1,0,Reputation,546,5,2,,38,4329,449.0,4329
2,2,Reputation,699,9,75,697.0,60,4337,1922.0,4337
0,0,Reputation,404,8,68,707.0,62,4360,578.0,4360
2,0,Reputation,253,1,6,,19,4370,,4370
1,1,Reputation,1912,4,126,,336,4426,183.0,4426
1,3,Reputation,1376,2,449,,169,4479,449.0,4479
0,17,Reputation,881,4,492,660.0,61,4485,1381.0,4485
1,0,Reputation,1015,2,2,696.0,190,4496,990.0,4496
0,4,Reputation,25123,6,582,,1245,4505,930.0,4505
2,1,Reputation,275,0,66,,16,4521,1808.0,4521
0,0,Reputation,290,7,18,,26,4531,1909.0,4531
5,0,Reputation,361,16,0,,20,4552,1307.0,4552
2,0,Reputation,724,0,72,,64,4559,1818.0,4559
0,0,Reputation,405,6,18,,36,4581,930.0,4581
6,11,Reputation,8814,1,314,,516,4598,1766.0,4598
4,0,Reputation,476,7,9,,46,4673,439.0,4673
3,0,Reputation,408,2,12,,90,4701,2456.0,4701
2,5,Reputation,773,2,7,218.0,68,4733,557.0,4733
0,15,Reputation,829,4,115,3877.0,110,4737,2060.0,4737
0,0,Reputation,334,1,103,,85,4751,5792.0,4751
1,0,Reputation,833,1,46,,39,4754,196.0,4754
0,0,Reputation,596,2,17,,47,4769,795.0,4769
2,0,Reputation,466,1,7,,7,4797,,4797
0,0,Reputation,330,11,3,4744.0,104,4810,2101.0,4810
3,4,Reputation,2052,10,505,2033.0,159,4812,253.0,4812
2,0,Reputation,310,2,24,,8,4820,1573.0,4820
0,1,Reputation,637,0,146,,32,4829,795.0,4829
0,0,Reputation,543,3,32,531.0,102,4843,2040.0,4843
2,412,Reputation,17791,3,2122,654.0,5927,4856,1637.0,4856
0,3,Reputation,3544,3,358,,460,4862,485.0,4862
3,0,Reputation,377,2,25,,55,4864,485.0,4864
4,15,Reputation,1183,3,157,248.0,140,4872,,4872
0,0,Reputation,391,3,3,,15,4881,,4881
5,6,Reputation,328,5,73,248.0,36,4908,1314.0,4908
2,8,Reputation,587,4,205,,46,4916,1909.0,4916
0,0,Reputation,308,5,73,,11,4925,696.0,4925
12,0,Reputation,464,5,428,,90,5003,1390.0,5003
1,0,Reputation,929,28,17,,82,5020,2144.0,5020
0,0,Reputation,644,9,13,575.0,139,5025,1215.0,5025
1,11,Reputation,669,3,89,,74,5055,919.0,5055
0,0,Reputation,275,6,6,370.0,58,5111,,5111
2,0,Reputation,356,4,7,1847.0,21,5172,2271.0,5172
4,1,Reputation,742,5,28,,175,5176,159.0,5176
3,0,Reputation,468,0,12,,21,5179,1709.0,5179
3,0,Reputation,583,2,57,73.0,286,5191,2189.0,5191
3,2,Reputation,739,3,14,,49,5234,919.0,5234
0,1,Reputation,1621,42,174,,249,5256,1390.0,5256
0,1,Reputation,911,0,75,,88,5264,,5264
3,1,Reputation,480,41,23,,85,5280,930.0,5280
7,5,Reputation,708,7,32,,75,5289,2148.0,5289
1,1,Reputation,392,24,26,,16,5296,5.0,5296
0,0,Reputation,510,4,47,2134.0,38,5321,1371.0,5321
0,13,Reputation,1863,1,224,,238,5339,2073.0,5339
3,0,Reputation,435,14,23,4277.0,20,5387,82.0,5387
0,0,Reputation,263,2,15,,30,5404,264.0,5404
0,0,Reputation,407,2,40,,164,5405,1739.0,5405
1,1,Reputation,1855,3,406,,294,5429,22.0,5429
2,0,Reputation,310,3,15,544.0,27,5443,253.0,5443
1,1,Reputation,384,9,8,,62,5464,1036.0,5464
2,0,Reputation,439,6,38,,73,5471,2116.0,5471
0,0,Reputation,357,2,35,,79,5480,364.0,5480
1,18,Reputation,814,3,68,,46,5494,609.0,5494
4,0,Reputation,437,3,177,246.0,63,5503,1307.0,5503
6,7,Reputation,1403,4,161,,323,5509,930.0,5509
0,0,Reputation,267,2,16,,34,5539,2028.0,5539
2,2,Reputation,683,3,55,,38,5544,2238.0,5544
0,0,Reputation,482,1,4,,70,5546,696.0,5546
1,0,Reputation,539,4,39,,58,5561,930.0,5561
2,4,Reputation,371,5,72,410.0,75,5573,64.0,5573
0,14,Reputation,2091,3,2923,,233,5594,887.0,5594
2,0,Reputation,421,8,1,879.0,96,5654,2473.0,5654
3,0,Reputation,373,10,11,404.0,43,5696,,5696
2,5,Reputation,414,2,15,,67,5729,1808.0,5729
0,16,Reputation,15236,1,705,,2252,5739,2510.0,5739
0,0,Reputation,446,3,20,,77,5764,264.0,5764
0,0,Reputation,1053,3,0,758.0,166,5792,569.0,5792
3,0,Reputation,281,4,3,,36,5793,930.0,5793
1,0,Reputation,452,1,152,,58,5795,1808.0,5795
0,4,Reputation,2452,0,242,,199,5829,11954.0,5829
0,0,Reputation,477,4,4,,65,5832,449.0,5832
5,18,Reputation,11489,7,683,636.0,1319,5836,2443.0,5836
1,0,Reputation,754,2,28,,74,5837,279.0,5837
3,2,Reputation,4546,6,201,,361,5862,449.0,5862
1,1,Reputation,549,1,40,,105,5864,449.0,5864
0,0,Reputation,603,7,67,736.0,98,5880,2597.0,5880
5,0,Reputation,306,2,3,307.0,7,5927,1004.0,5927
2,1,Reputation,311,4,17,,36,5946,,5946
1,1,Reputation,1200,0,53,,94,6000,266.0,6000
0,0,Reputation,295,2,7,,18,6003,264.0,6003
1,0,Reputation,425,12,72,,23,6015,1381.0,6015
0,40,Reputation,5837,2,3481,,638,6029,88.0,6029
0,0,Reputation,321,1,0,,9,6054,2669.0,6054
0,3,Reputation,365,9,13,,73,6072,887.0,6072
3,3,Reputation,1815,4,106,,265,6082,686.0,6082
1,2,Reputation,719,5,113,182.0,321,6096,2634.0,6096
3,0,Reputation,951,1,99,,94,6129,364.0,6129
1,0,Reputation,436,7,74,627.0,24,6169,559.0,6169
0,2,Reputation,307,6,57,2700.0,22,6206,2755.0,6206
4,18,Reputation,1640,2,100,,94,6248,2116.0,6248
